Nama Makanan,Umur,Status Gizi,Bahan-bahan,Cara Membuat,Nilai Gizi per Resep,Catatan,Nama Gambar,Nama Gambar Fix
Soto Lamongan + Jeruk,12-23 Bulan,Lebih,50 gr Nasi;  25 gr (2.5 sdm) daging ayam cincang; 10 gr (1 sdm) soun; 1 butir telur puyuh; 1 sdm wortel; 1/2 sdt minyak goreng; 1 buah  (50 g) jeruk; 1  lembar daun salam; 1 batang serai;  1 lembar daun jeruk; 1/2 cm lengkuas; 1500 air untuk merebus; garam secukupnya; merica secukupnya; 1 butir kemiri; 1 siung bawang merah; 1 sing bawang merah; 1/2 cm jahe; 1/2 cm kunyit; 1/4 sdt jinten; 1/2 sdt ketumbar; 1/2 sdt irisan daun bawang; 1/2 sdt irisan seledri; 1/2 sdt irisan bawang goreng;,"rebus ayam hingga setengah matang, ditambahkan serai geprek, daun salam, daun jeruk, dan lengkuas yg digeprek; tumis bumbu hingga harum dan matang, lalu masukan ke dalam rebusan ayam; tambahkan garam, dan merica. Masak hingga ayam matang dan empuk, (jangan lupa koreksi rasa); daging ayam bisa diangkat dan di suir-suir; siapkan mangkuk berikan soun yang sudah direndam, irisan wortel rebus, suiran daging ayam, serta telur rebus; tambahkan kuah soto ayam, jangan lupa taburkan daun bawang, seledri, dan bawang goreng; sajikan dengan nasi hangat dan lengkapi dengan buah;","Energi;268,5 kkal;Karbo;11 gr;Protein;10,5 gr;Lemak;8,9 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,soto_lamongan_jeruk.jpg,menu_soto_lamongan_jeruk.jpg
Sup Ikan Air Tawar Labu Kuning,12-23 Bulan,Normal,"70 gr  kentang, potong dadu; 70 gr labu kuning, potong dadu; 25 gr ikan mujair, suwir; 10 gr (1 butir) telur puyuh, kocok; 5 gr (1 sdt) kacang merah; 25 gr tomat, potong dadu; 1 batang bawang daun; 5 gr bawang goreng; 5 ml Minyak; 300 mL kaldu ayam; garam secukupnya;","rebus kaldu ikan hingga mendidih, masukkan minyak, kentang, kacang merah, dan labu kuning hingga setengah matang; masukkan ikan yang telah disuwir, masak hingga matang; masukkan tomat, bawang daun, bawang goreng, dan telur, aduk perlahan; masukkan garam, aduk rata. Angkat dan sajikan;","Energi;230,1 kkal;Karbo;10 gr;Protein;10,8 gr;Lemak;9 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,sup_ikan_air_tawar_labu_kuning.jpg,menu_sup_ikan_air_tawar_labu_kuning.jpg
Nugget Sayuran,12-23 Bulan,Normal,"150 gr ubi jalar merah rebus, haluskan; 50 gr (1 butir) telur ayam, kocok; 30 gr daging ayam; 1 cangkir bayam, cincang kasar; 20 gr (2 sdm) wortel, parut kasar; 3 siung bawang putih, cincang; garam secukupnya; minyak untuk menggoreng;","campur bayam, wortel, ubi, telur, daging ayam, bawang putih dan garam hingga rata; ambil 1 sendok makan bahan. Bentuk bulat pipih menggunakan tangan. Lakukan langkah serupa pada sisa bahan; ambil 1 buah nugget, celupkan ke dalam kocokan telur. Masukkan pada wajan berisi minyak panas. Goreng nugget hingga berubah warna dan matang. Angkat dan tiriskan; lakukan langkah serupa pada sisa bahan. Sajikan selagi hangat;","Energi;270,5 kkal;Karbo;10,5 gr;Protein;10,6 gr;Lemak;15,7gr;","Satu resep menghasilkan 2 porsi; makanan selingan ini dapat dijadikan makanan utama dengan menambahkan protein seperti ayam, ikan, tahu, tempe, dan kacang lainnya; porsi dan tekstur makanan disesuaikan dengan usia anak;",nugget_sayuran.jpg,menu_nugget_sayuran.jpg
Nasi Ayam Katsu,12-23 Bulan,Normal,200 gr nasi; 100 gr daging ayam fillet; 20 gr wortel; 20 gr buncis; 1/2 butir telur kocok; 1 jeruk nipis; tepung panir secukupnya; garam secukupnya; merica secukupnya; minyak secukupnya;,"rebus wortel dan buncis dengan sedikit garam hingga matang; lumuri daging ayam dengan jeruk nipis, garam, dan merica; celupkan ayam ke dalam telur, lalu gulingkan ke dalam tepung panir hingga seluruh permukaan tertutup rapat; goreng dengan minyak hingga matang; sajikan dengan wortel, buncis, dan nasi;","Energi;186, kkal;Karbo;10,8 gr;Protein;7,9 gr;Lemak;8,3 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,nasi_ayam_katsu.jpg,menu_nasi_ayam_katsu.jpg
"Nasi Ayam Katsu, Tumis Sayuran, Nano-nano + Melon",24-59 Bulan,Lebih,"2,8; Ayam Katsu, Tumis Sayuran; 225 gr Nasi Putih; 75 gr Ayam Fillet; 10 sdm tepung terigu; 10 gr tepung jagung; 50 gr tepung roti; 1/2 butir telur ayam; garam dan merica secukupnya; air secukupnya; 30 gr wortel; 30 gr buncis; 30 gr jagung pipil kuning; 30 gr bawang bombay; 30 gr bawang putih garam dan gula secukupnya; 3 potong buah melon (pelengkap);","2,5; Ayam Katsu, Tumis Sayuran; potong tipis fillet ayam menjadi 3 bagian; pipihkan dan lumuri dengan garam dan merica, lalu diamkan sekitar 15 menit; campurkan tepung terigu, tepung jagung, telur, garam, dan merica kemudain tambahkan sedikit air; gulingkan potongan ayam kedalam larutan tepung tadi, kemudian gulingkan kedalam tepung roti. Lakukan sampai ayam habis; sebaiknya disimpan dulu dalam lemari es atau bisa langsung digoreng dalam minyak yang cukup sampai kuning keemasan. Sisihkan; tumis irisan bawang bombay dan bawang putih yang sudah di geprek sampai harum; tambahkan air sedikit, masukkan wortel yang sudah diiris dan jagung pipilnya, tunggu sampai setengah matang, lalu masukakan buncis; tambahkan garam, dan gula secukupnya; aduk rata sampai semua sayuran matang, jangan lupa koreksi rasa; sajikan sayuran ini bersama ayam katsu dan nasi hangat dan buah;","Energi;403,3 kkal;Karbo;24 gr;Protein;12,0 gr;Lemak;17,7gr;",Satu resep menghasilkan 3 porsi; Untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_ayam_katsu_tumis_sayuran_nano_nano_melon.png,menu_nasi_ayam_katsu_tumis_sayuran_nano_nano_melon.png
"Nasi Bakar, Ikan Tongkol + Pepaya",24-59 Bulan,Normal,330 gr Nasi Putih; 90 gr Ikan Tongkol Kukus; 15 gr Bayam; 45 gr Tahu (dihancurkan); 70 ml Santan; 1/2 cm jahe (digeprek); 1/2 cm  lengkuas (digeprek); 3 batang serai; 3 lembar daun salam; 1 ikat daun kemangi; garam dan gula secukupnya; 2 siung bawang merah; 2 siung bawang putih; 2 butir kemiri; daun pisang untuk membungkus; minyak untuk menumis;,"tumis bumbu halus, masukan salam, serai, lengkuas dan aduk hingga harum dan matang; masukkan ikan tongkol kukus suir, santan, dan aduk hingga tercampur rata; masukkan, irisan daun bayam, gula dan garam secukupnya, masak hingga matang dan koreksi rasa; bagi nasi menjadi 3 bagian. Bungkus dengan daun pisang, tambahkan tumisan ikan tongkol ditengahnya dan kemangi; bakar bungkusan nasi tersebut sampai daun pisang mengering (bisa juga di kukus); sajikan selagi hangat;","Energi;270,5 kkal;Karbo;14 gr;Protein;10,6 gr;Lemak;15,7gr;",satu resep menghasilkan 2 porsi; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_bakar_ikan_tongkol_pepaya.jpg,menu_nasi_bakar_ikan_tongkol_pepaya.jpg
Pepes Tahu,24-59 Bulan,Normal,"300 gr tahu putih, haluskan; 100 gr wortel, parut; 2 siung bawang putih iris; 3 siung bawang merah iris; 10 gr daging ayam; 50 gr (1 butir) telur ayam; 15 gr kerupuk aci; 10 gr daun bawang; 5 gr margarin; 15 gr (1 sdm) tepung tapioka; beberapa helai daun pisang yang sudah dibersihkan;","tumis bawang hingga harum; masukkan daging ayam dan masak hingga berubah warna. Sisihkan; campurkan potongan tahu putih yang telah dihaluskan, wortel yang telah di parut, kerupuk aci yang telah direndam dan kocokan telur. Aduk hingga merata; siapkan daun pisang, ambil 2 sendok makan campuran tahu dan wortel, bungkus Kukus hingga matang. Sajikan;","Energi;304,7 kkal;Karbo;18 gr;Protein;17,9 gr;Lemak;17,0 gr;","satu resep menghasilkan 2 porsi; makanan selingan ini dapat dijadikan makanan utama dengan menambahkan nasi/bubur serta protein hewani seperti ayam, ikan, telur, dll; orsi dan tekstur makanan disesuaikan dengan usia anak;",pepes_tahu.jpg,menu_pepes_tahu.jpg
Omelet Mie Ceria,24-59 Bulan,Lebih,"50 gr daging ayam giling; 100 gr (2 butir) telur ayam; 40 gr sawi hijau, iris tipis; 50 gr tauge; 10 gr (1 btg) daun bawang, iris tipis; 7,5 mL (1 1/2 sdt) kecap asin; 3 gr (1/2 sdt) merica; 50 gr wortel; 20 mL (2 sdm) minyak; 40 gr Mie kering;",di dalam mangkung aduk rata semua bahan (kecuali minyak); panaskan minyak di dalam wajan anti lengket di atas api sedang; masak telur dalam 2 bagian. masak hingga matang di kedua sisinya. Angkat dan potong sesuai selera. Sajikan selagi hangat;,"Energi;335,9 kkal;Karbo;17,4 gr;Protein;15,9 gr;Lemak;21,7 gr;","satu resep menghasilkan 2 porsi; makanan selingan ini dapat dijadikan makanan utama dengan menambahkan nasi/bubur serta protein hewani seperti ayam, ikan, telur, dll; orsi dan tekstur makanan disesuaikan dengan usia anak;",omelet_mie_ceria.jpg,menu_omelet_mie_ceria.jpg
Roti Goreng isi Ragout Ayam Sayuran,24-59 Bulan,Normal,"1 sdt garam; 1/2 sdm seledri, cincang halus; 300 ml susu cair 10 buah roti tawar, potong menjadi 4 bentuk segitiga; 1/2 buah bawang bombay, cincang halus; 1 sdt gula pasir; 7.5 gr margarin; 160 gr daging ayam rebus; 60 gr wortel, cincang; 30 gr buncis, potong kecil-kecil; 3 sdm tepung terigu; 1 butir telur ayam; secukupnya tepung panir;","tumis bawang bombay sampai harum, tambahkan tepung terigu, aduk sampai bergumpal; masukkan susu cair sedikit demi sedikit sambil diaduk, lalu tambahkan wortel, ayam, garam, gula, seledri, aduk sampai rata dan mengental. Ragout ayam dan sayur sudah jadi; olesi roti tawar dengan ssu cair sampai agak basah kedua sisinya; letakkan isian rogout ayam dan sayur di aras satu roti tawar, lalu tutup dengan roti tawar lain (seperti sanwich atau gabin), sambil ditekantekan supaya menempel; celupkan semua sisi roti dalam kocokan telur dan glingkan ke tepung panir; goreng sampai kuning kecoklatan; angkat dan tiriskan Roti goreng isi rogout ayam dan sayur siap disajikan;","Energi;319,2 kkal;Karbo;16,2 gr;Protein;16,8 gr;Lemak;12,0gr;",satu resep menghasilkan 5 porsi; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,roti_goreng_isi_ragout_ayam_sayuran.jpg,menu_roti_goreng_isi_ragout_ayam_sayuran.jpg
Bubur Patin,6-8 Bulan,Kurang,"2,11; Bahan, Bahan Halus; 60 gram nasi; 30 gram hati ayam, cincang halus; 30 gram ikan patin, cincang halus; 10 gram tomat, potong kecil-kecil; 7,5 ml minyak jagung; 1/2 iris bawang bombai; 1/2 cm jahe; 1 lembar daun salam; 1 lembardaun jeruk; seledri, Jeruk nipis dan Garam secukupnya; air secukupnya; 1/2 siung bawang putih; 1/2 siung bawang merah;","lumuri ikan patin dan hati ayam dengan jeruk nipis dan garam, diamkan 15 menit; campur ikan patin dan hati ayam dengan bumbu halus, tambahkan tomat, bawang bombai, jahe, seledri, daun salam, dan daun jeruk, tambahkan minyak jagung; kukus hingga matang; ketika akan dicampur dengan nasi, ambil daun salam dan daun jeruknya. Lalu saring hingga teksturnya sesuai yang diinginkan;","Energi;74 kkal;Karbo;6 gr;Protein;4 gr;Lemak;3,2 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_patin.png,menu_bubur_patin.png
Bubur Daging Sapi,6-8 Bulan,Buruk,"2,5; Bahan, Bahan Halus; 60 gram nasi; 50 gram daging sapi giling; 15 gram bayam, rebus matang, iris kecil; 7,5 ml minyak kelapa; garam secukupnya; 1 siung bawang merah; 1 siung bawang putih;","kukus daging sapi giling yang sudah dicampur bumbu halus didalam wadah tahan panas hingga matang; tambahkan bayam; masukkan minyak kelapa dan garam secukupnya; tambahkan nasi, lalu saring hingga teksturnya sesuai yang diinginkan;","Energi;80 kkal;Karbo;6 gr;Protein;6 gr;Lemak;4,3 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_daging_sapi.png,menu_bubur_daging_sapi.png
Bubur Hati dan Ayam,6-8 Bulan,Buruk,"2,9; Bahan, Bahan Halus; 30 gram beras; 30 gram dada ayam giling; 30 gram hati ayam, cincang halus; 10 gram brokoli, potong kecil-kecil; 60 ml kaldu ayam; 120 ml air; 15 gram tahu, potong kecil-kecil; 7,5 ml minyak kanola, untuk menumis; garam secukupnya; 1 siung bawang putih; 1 siung bawang merah; 1 ruas jahe;","masak beras dengan air dan kaldu ayam sampai menjadi bubur; masukkan brokoli; tumis bumbu halus hingga harum; tambahkan hati dan dada ayam, aduk hingga berubah warna, lalu masukkan tahu; tambahkan tumisan hati, dada ayam, dan tahu ke dalam bubur, lalu beri garam secukupnya Masak hingga matang;","Energi;86 kkal;Karbo;7,8 gr;Protein;6 gr;Lemak;3,5 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_hati_dan_ayam.jpg,menu_bubur_hati_dan_ayam.jpg
Bubur Tenggiri,6-8 Bulan,Kurang,"2,6; Bahan, Bahan Halus; 30 gram beras, kukus setengah matang; 45 gram ikan tenggiri, cincang halus; 15 gram buncis, potong kecil-kecil; 150 ml kaldu ayam; 7,5 ml minyak kelapa sawit, untuk menumis; garam secukupnya; 1 siung bawang putih; 1 siung bawang merah;","tumis bumbu halussampai harum; masukkan daging ikan tenggiri dan buncis, aduk sampai matang, lalu haluskan; didihkan air kaldu, masukkan beras, adukberas hingga menjadi bubur kasar; masukkan tumisan ikan dan garam secukupnya, aduk hingga semua bahan matang;","Energi;77 kkal;Karbo;6 gr;Protein;4,5 gr;Lemak;3,8 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_tenggiri.jpg,menu_bubur_tenggiri.jpg
Bubur Ayam Mentega,6-8 Bulan,Buruk,"2,7; Bahan, Bahan Halus; 30 gram beras; 30 gram daging ayam giling; 1 butir telur; 1 1/2 sdm wortel parut; 300 ml air kaldu; 1 1/2 sdm mentega, untuk menumis; garam secukupnya; 1 siung bawang putih; 1 siung bawang merah;","tumis bumbu halus dengan mentega hingga harum; masukkan daging ayam giling, aduk sampai berubah warna; masukkan beras dan air kaldu ke dalam panci, tambahkan tumisan ayam, wortel parut, dan garam secukupnya; masak sambil diaduk hingga beras menjadi bubur; masukkan telur kocok, aduk rata. Angkat bubur, lalu saring;","Energi;92 kkal;Karbo;7,9 gr;Protein;4,1 gr;Lemak;4,9 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_ayam_mentega.jpg,menu_bubur_ayam_mentega.jpg
Nasi Tim Ayam Lodeh,9-11 Bulan,Buruk,"2,9; Bahan, Bahan Halus; 60 gram beras; 75 gram daging ayam giling; 150 ml santan cair; 50 ml kaldu ayam; 1 lembar daun salam; 1 utas kacang panjang, potong kecil-kecil; 1/2 sdm minyak jagung; 7,5 ml minyak kedelai/minyak jagung; gula dan garam secukupnya; 1 siung bawang putih;","tumis bumbu halus hingga harum; masukkan beras, santan, garam, gula, dan daging giling, lalu aduk rata; masak hingga santan terserap habis; masukkan dalam wadah tahan panas, tambahkan kaldu ayam, daun salam, dan kacang panjang; kukus hingga air kaldu kering, kemudian angkat dan sajikan;","Energi;130 kkal;Karbo;10,3 gr;Protein;6,9 gr;Lemak;7,8 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,nasi_tim_ayam_lodeh.jpg,menu_nasi_tim_ayam_lodeh.jpg
Tim Udang Brokoli,9-11 Bulan,Kurang,"2,8; Bahan, Bahan Halus; 60 gram beras; 200 ml kaldu ayam; 1/2 sdt garam; 1/4 sdt gula pasir; 50 gram udang, cincang halus; 15 gram brokoli, potong kecil-kecil; 1 sdt minyak jagung; 5 ml minyak kelapa untuk menumis; 1 siung bawang putih; 1 siung bawang merah;","tumis udang cincang dengan bumbu halus hingga harum; masak beras dengan air kaldu, garam, dan gula, lalu aduk rata sampai matang; masukkan udang cincang, kecilkan api; tambahkan brokoli, masak hingga empuk dan udang berubah warna; tambahkan minyak jagung, aduk hingga rata; masukkan nasi ke dalam wadah tahan panas, lalu masak kembali sampai menjadi nasi tim;","Energi;104 kkal;Karbo;7,5 gr;Protein;4,7 gr;Lemak;5 gr;",satu resep menghasilkan 3 porsi; berikan secara bertahap dan sesuaikan dengan kebutuhan hariannya; untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,tim_udang_brokoli.jpg,menu_tim_udang_brokoli.jpg
